introgression_tract,Sdro,Sfra,Spal,Hpul,Overlapping Gene,Gene Name,Gene Length,Overlapping Bases,Percent Introgressed,Gene Coordinates,ECB Gene ID,Gene Synonyms,Curation Status,Gene Info,Echinobase GO,Echinobase KO,Tu GO
NW-022145612.1:20516181-20516270,7.3,46.1,13.58,53.91,LOC105441547,voltage-dependent calcium channel subunit alpha-2/delta-1,71069,89,0.1252304098833528,NW_022145612.1:20463662-20534731,ECB-GENEPAGE-23161681,"component of oligomeric golgi complex 5-1|Sp-Cog5_1| calcium channel, voltage-dependent, alpha 2/delta subunit 2 |Sp-Cacna2d2|SPU_013966|SPU_006147|SPU_004991|LOC110989216",partially curated,n/a,n/a,n/a,"EggActivation,EggActivation,EggActivation"
NW-022145603.1:30658841-30662458,23.27,33.94,15.98,22.27,LOC105437098,uncharacterized LOC105437098,16195,175,1.0805804260574252,NW_022145603.1:30662283-30678478,ECB-GENEPAGE-23097181,Sp-Hypp_166|Sp-Nlr67|hypothetical protein-2396|Sp-Hypp_2396|Sp-Nlr60|SPU_022394|SPU_018628|SPU_020436|SPU_023550|hypothetical protein-166,partially curated,n/a,n/a,n/a,"Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR|Immunity,Immunity_ReceptorNLR,Immunity_ReceptorNLR"
NW-022145609.1:19340848-19344462,18.74,26.08,14.72,11.16,LOC100891352,uncharacterized LOC100891352,21133,1040,4.921213268348081,NW_022145609.1:19320755-19341888,ECB-GENEPAGE-23134137,Sp-Hypp_2635|SPU_022862|hypothetical protein-2635,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:19738413-19742025,17.36,22.8,9.0,24.14,LOC576818,coiled-coil domain containing 58,5936,1678,28.26819407008086,NW_022145607.1:19734155-19740091,ECB-GENEPAGE-23125717,SPU_007674|LOC576818|coiled-coil domain-containing protein 58|LOC110988431,curated,n/a,GO:0005758,KEGG:spu:576818,n/a
NW-022145607.1:19738413-19742025,17.36,22.8,9.0,24.14,LOC588400,pyridine nucleotide-disulphide oxidoreductase domain 1,13077,798,6.1023170451938515,NW_022145607.1:19741227-19754304,ECB-GENEPAGE-23125723,LOC588400|Sp-Oxidrd|SPU_007676|NAD/FAD-dependent oxidoreductase|Sp-Pyroxd1|SPU_019448|pyridine nucleotide-disulphide oxidoreductase domain 1|pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1|LOC110988208,curated,n/a,n/a,n/a,n/a
NW-022145594.1:45888202-45891794,14.31,17.15,5.95,8.33,LOC100889992,brother of CDO,8135,3592,44.15488629379226,NW_022145594.1:45885452-45893587,ECB-GENEPAGE-23034411,SPU_019364,partially curated,n/a,n/a,n/a,n/a
NW-022145613.1:7614209-7617800,17.57,22.11,9.19,14.95,LOC100891954,uncharacterized LOC100891954,7167,3368,46.99316310869262,NW_022145613.1:7614432-7621599,ECB-GENEPAGE-23173858,n/a,partially curated,n/a,GO:0016020,n/a,n/a
NW-022145606.1:36584072-36584172,24.84,78.38,14.02,61.2,LOC105447449,transient receptor potential cation channel subfamily A member 1-like,28663,100,0.3488818337229181,NW_022145606.1:36583823-36612486,ECB-GENEPAGE-23119971,"ankyrin2,3/unc44-like-31 |Sp-Unc44L_31|SPU_003600",partially curated,n/a,n/a,n/a,n/a
NW-022145602.1:17599690-17599728,40.13,46.84,22.26,53.08,LOC591602,protein O-mannosyl-transferase TMTC3-like,14842,38,0.2560301846112384,NW_022145602.1:17595353-17610195,ECB-GENEPAGE-23090252,Sp-Smile_2|SPU_005302|SMILE protein|Sp-Smile|SPU_011897,partially curated,n/a,n/a,n/a,n/a
NW-022145602.1:17613147-17613648,21.27,32.78,19.79,32.41,LOC115925093,protein O-mannosyl-transferase TMTC3-like,6180,501,8.106796116504853,NW_022145602.1:17610202-17616382,ECB-GENEPAGE-23090256,SPU_015128,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:11214670-11218234,22.5,48.61,11.85,27.33,LOC593916,neural cell adhesion molecule 2,36421,3564,9.785563273935367,NW_022145594.1:11197636-11234057,ECB-GENEPAGE-23028923,SPU_000554|Igf_19|SPU_000553|Sp-Fn3/Igf_19,partially curated,n/a,n/a,n/a,"Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3"
NW-022145610.1:21087837-21091363,12.29,13.0,5.08,11.66,LOC115929336,uncharacterized LOC115929336,2166,137,6.325023084025855,NW_022145610.1:21091226-21093392,ECB-GENEPAGE-23142570,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:21087837-21091363,12.29,13.0,5.08,11.66,LOC115919044,D-galactonate transporter-like,12460,484,3.8844301765650084,NW_022145610.1:21075861-21088321,ECB-GENEPAGE-23142565,"cis,cis-muconate transport protein MucK-like |hypothetical protein-2514|Sp-Hypp_2514|SPU_020591",partially curated,n/a,n/a,n/a,n/a
NW-022145613.1:27086068-27086201,51.17,54.62,17.74,87.41,LOC574871,protein scribble homolog,121056,133,0.10986650806238435,NW_022145613.1:27014447-27135503,ECB-GENEPAGE-23178175,Sp-Scrib|SPU_002555|Scrib|Scrb1,partially curated,n/a,n/a,n/a,n/a
NW-022145600.1:6647320-6647370,31.64,37.96,7.52,45.66,LOC105446861,receptor-type guanylate cyclase gcy-14-like,61389,50,0.08144781638404275,NW_022145600.1:6604989-6666378,ECB-GENEPAGE-23073488,SPU_012077,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:5374366-5377872,77.18,68.42,33.9,75.96,LOC100888636,uncharacterized LOC100888636,37072,3506,9.457272334915839,NW_022145598.1:5345264-5382336,ECB-GENEPAGE-23057923,Sp-PolppL_75|SPU_008545|pol polyprotein-like-75|Sp-PppL_249|SPU_007383|pol polyprotein like-249|Sp-Hypp_1316|SPU_001224|hypothetical protein-1316,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:9579548-9579654,29.52,12.58,13.44,50.36,LOC105446520,uncharacterized LOC105446520,38426,106,0.2758548899182845,NW_022145598.1:9577268-9615694,ECB-GENEPAGE-23058706,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145598.1:51645-51711,75.2,52.02,19.39,97.24,LOC100892823,centrosome and spindle pole associated protein 1,87239,66,0.07565423721042194,NW_022145598.1:35376-122615,ECB-GENEPAGE-23056942,Sp-Hypp_828|SPU_016509|hypothetical protein-828|SPU_024594|Sp-Hypp_1292|SPU_000916|hypothetical protein-1292|SPU_024595|SPU_009979|LOC100892823|LOC110978692,curated,n/a,n/a,n/a,n/a
NW-022145609.1:35997790-36001262,26.02,29.35,11.4,21.45,LOC577935,receptor-type tyrosine-protein phosphatase epsilon,22215,3472,15.629079450821518,NW_022145609.1:35995061-36017276,ECB-GENEPAGE-23137621,Sp-PtprW2|SPU_024074|Sp-Ptpase|SPU_027290,partially curated,n/a,n/a,n/a,"Phosphatase,Phosphatase_Tyrosine,Phosphatase_Tyrosine|Phosphatase,Phosphatase_Tyrosine,Phosphatase_Tyrosine"
NW-022145605.1:20942365-20945826,13.98,37.03,5.71,30.07,LOC587111,"nitric oxide synthase, endothelial",26919,291,1.0810208402986738,NW_022145605.1:20915737-20942656,ECB-GENEPAGE-23109476,Sp-Nos_2| NOS type I | Neuronal NOS |N-NOS|nNOS| Constitutive NOS |NC-NOS|bNOS|Nitric-oxide synthase|Sp-Nos1|Sp-Nos_3|SPU_013373|SPU_019970|SPU_016283,partially curated,n/a,n/a,n/a,"Nervous,Nervous_NOSignaling,Nervous_NOSignaling|Nervous,Nervous_NOSignaling,Nervous_NOSignaling|Nervous,Nervous_NOSignaling,Nervous_NOSignaling"
NW-022145605.1:20942365-20945826,13.98,37.03,5.71,30.07,LOC587211,STN1 subunit of CST complex,18846,218,1.15674413668683,NW_022145605.1:20945608-20964454,ECB-GENEPAGE-23109483,SPU_016284|LOC587211|CST complex subunit STN1|LOC110989060,curated,n/a,"GO:0000781,GO:0003676,GO:0005634",n/a,n/a
NW-022145605.1:2287784-2291232,9.67,33.35,9.52,28.59,LOC756117,TBCC domain containing 1,10529,609,5.78402507360623,NW_022145605.1:2277864-2288393,ECB-GENEPAGE-23105067,LOC756117|Sp-Tbccd1|SPU_000850|TBCC domain containing 1|TBCC domain-containing protein 1|LOC110982297,curated,n/a,n/a,n/a,n/a
NW-022145605.1:2287784-2291232,9.67,33.35,9.52,28.59,LOC756125,protein spinster homolog 1,17396,1628,9.358473212232697,NW_022145605.1:2289604-2307000,ECB-GENEPAGE-23105075,Sp-Spnsh1|SPU_000847|spinster homolog 1|spinster-like protein|LOC110976621,partially curated,n/a,n/a,KEGG:spu:756125,"Metabolism,Metabolism_Carbohydrate,Metabolism_Carbohydrate"
NW-022145600.1:29817791-29821228,18.62,31.78,5.97,22.9,LOC115918657,C-C chemokine receptor type 8-like,8109,3437,42.38500431619189,NW_022145600.1:29814869-29822978,ECB-GENEPAGE-23077764,Sp-Surreal/Gpcr113|SPU_020295,partially curated,n/a,n/a,n/a,"Nervous,Nervous_Chemosensory,Nervous_Chemosensory"
NW-022145601.1:1308622-1308628,21.0,48.67,15.5,61.5,LOC100892067,suppressor protein SRP40,6572,6,0.09129640900791236,NW_022145601.1:1308152-1314724,ECB-GENEPAGE-23079877,Sp-Hypp_3009|SPU_026173|hypothetical protein-3009,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:29398026-29398108,82.77,65.5,12.02,81.82,LOC100890709,serine/arginine repetitive matrix protein 2,74029,82,0.11076740196409515,NW_022145607.1:29380510-29454539,ECB-GENEPAGE-23127656,SPU_028570|Sp-Lrr/Fn3f|SPU_021340|SPU_021341|LOC110981464,partially curated,n/a,n/a,n/a,"Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3"
NW-022145609.1:9571060-9574486,12.41,18.28,7.56,27.74,LOC115928802,DNA excision repair protein ERCC-6-like 2,19522,2373,12.155516852781476,NW_022145609.1:9553911-9573433,ECB-GENEPAGE-23132375,SPU_020227|Sp-Hypp_2978|SPU_000998|hypothetical protein-2978,partially curated,n/a,n/a,n/a,n/a
NW-022145604.1:9148905-9148937,26.47,39.88,17.31,43.12,LOC105443099,mucin-2-like,62644,32,0.05108230636613244,NW_022145604.1:9092939-9155583,ECB-GENEPAGE-23100065,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:14662456-14665869,16.95,22.62,10.55,22.46,LOC582296,mediator complex subunit 8,11032,3413,30.937273386511965,NW_022145609.1:14661998-14673030,ECB-GENEPAGE-23133482,"LOC582296|mediator of RNA polymerase II transcription, subunit 8 homolog |mediator complex subunit 8|Sp-Med8|SPU_025580|mediator of RNA polymerase II transcription subunit 8-B|LOC110985223",curated,n/a,n/a,n/a,n/a
NW-022145598.1:4415057-4415062,50.6,37.4,22.8,37.6,LOC582631,uncharacterized LOC582631,155724,5,0.0032108088669697667,NW_022145598.1:4375076-4530800,ECB-GENEPAGE-23057777,Sp-DstL|SPU_008972|dystonin-like|Sp-Macf1-2|SPU_003261|microtubule-actin crosslinking factor 1-2|Sp-Dystoh3|SPU_003257|dystonin|SPU_016498|Sp-Macf1|SPU_003258|microtubule-actin crosslinking factor 1|Sp-Macf1L|SPU_017303|microtubule-actin crosslinking factor 1-like|LOC110985497,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:3259426-3260665,23.37,33.21,8.49,25.98,LOC580608,CNK3/IPCEF1 fusion protein,37674,1239,3.288740245261984,NW_022145607.1:3248609-3286283,ECB-GENEPAGE-23122853,Sp-Cnksr2L|SPU_021961|connector enhancer of kinase suppressor of Ras 2-like|Sp-Hypp_1789|SPU_008523|hypothetical protein-1789|LOC110978869,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:26587310-26590698,21.35,35.36,12.94,26.2,LOC592060,organic cation transporter protein-like,7191,3388,47.114448616325966,NW_022145607.1:26584067-26591258,ECB-GENEPAGE-23127147,"Sp-Orct_2|SPU_016543|organic cation transporter protein-2; solute carrier family 22 (organic anion transporter)|member 13-like|organic cation transporter protein-2|solute carrier family 22 (organic anion transporter), member 13-like",partially curated,n/a,n/a,n/a,"Defensome,Defensome_TransporterIon,Defensome_TransporterIon"
NW-022145594.1:5059704-5059706,24.0,47.0,11.0,73.5,LOC585963,uncharacterized LOC585963,140194,2,0.0014265945760874217,NW_022145594.1:5035911-5176105,ECB-GENEPAGE-23027996,SPU_028806|SPU_021957|Sp-Tmem|SPU_000737|Macoilin transmembrane protein domain containing|Sp-Hypp_147|SPU_019130|hypothetical protein-147|zonadhesin-like|Sp-Hypp_178|SPU_021973|hypothetical protein-178|Sp-Hypp_271|SPU_027605|hypothetical protein-271|Sp-Hypp_177|SPU_021958|hypothetical protein-177,partially curated,n/a,n/a,n/a,n/a
NW-022145604.1:8938793-8938876,78.22,59.23,19.4,77.06,LOC100890755,uncharacterized LOC100890755,17914,83,0.4633247739198393,NW_022145604.1:8936701-8954615,ECB-GENEPAGE-23099980,Sp-Krfp1|SPU_000042|Kelch repeat-containing family protein 1|LOC110979356,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:26131327-26134694,18.42,25.76,11.75,17.91,LOC592199,torsin-1A,7286,1150,15.78369475706835,NW_022145610.1:26133544-26140830,ECB-GENEPAGE-23143782,SPU_014383,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:26131087-26131142,55.04,59.45,22.91,74.16,LOC590789,zinc finger CCCH-type and G-patch domain containing,12664,55,0.434301958307012,NW_022145610.1:26119985-26132649,ECB-GENEPAGE-23143775,"LOC590789|Sp-Zgpat| zinc finger, CCCH-type with G patch domain|SPU_014360|SPU_014382|zinc finger CCCH-type with G patch domain-containing protein|LOC110988580",curated,n/a,n/a,n/a,n/a
NW-022145609.1:16920375-16920678,54.72,37.42,17.47,62.06,LOC591452,asparagine synthetase domain containing 1,41229,303,0.734919595430401,NW_022145609.1:16883703-16924932,ECB-GENEPAGE-23133922,Sp-Asnsd1L|SPU_007903|asparagine synthetase domain-containing protein 1-like|Sp-Asnsd1|SPU_000324|asparagine synthetase domain-containing protein 1|SPU_013430|SPU_007902|LOC591452|LOC110987207,curated,n/a,n/a,n/a,"Metabolism,Metabolism_AminoAcid,Metabolism_AminoAcid"
NW-022145599.1:37234065-37234204,11.33,36.23,10.94,15.98,LOC100888821,nose resistant to fluoxetine protein 6,15252,139,0.9113558877524259,NW_022145599.1:37222527-37237779,ECB-GENEPAGE-23071804,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145605.1:36509667-36512998,25.52,43.26,12.03,38.22,LOC585777,72 kDa type IV collagenase,37979,3331,8.770636404328707,NW_022145605.1:36506260-36544239,ECB-GENEPAGE-23113051,Sp-Mt5/MmpL1|SPU_023505|matrix metalloprotease 25|MT5-mmp,partially curated,n/a,"GO:0004222,GO:0006508,GO:0008270,GO:0031012",n/a,"Metalloprotease,Metalloprotease,Metalloprotease"
NW-022145613.1:9887452-9887458,27.17,29.67,15.0,44.5,LOC588928,uncharacterized LOC588928,111923,6,0.005360828426686204,NW_022145613.1:9881279-9993202,ECB-GENEPAGE-23174358,Sp-Sea/Egf/Hyalinl|SPU_002355|Sp-Sea/Egf|SPU_017657,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:7408807-7409678,24.29,29.69,10.21,23.57,LOC105442195,arrestin domain-containing protein 2-like,39617,871,2.1985511270414215,NW_022145609.1:7380005-7419622,ECB-GENEPAGE-23131830,Sp-Arrdc3|SPU_001165|arrestin domain containing 3|LOC110982793,partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:16822354-16824134,17.12,22.09,7.86,19.59,LOC755300,DnaJ heat shock protein family (Hsp40) member C25,13945,1780,12.76443169594837,NW_022145606.1:16819304-16833249,ECB-GENEPAGE-23116768," DnaJ (Hsp 40) homolog, subfamily C member 25 |Sp-Dnajc25|DNAJ|LOC755300|SPU_027897|SPU_024667|SPU_022275|dnaJ homolog subfamily C member 25 homolog|LOC110983993",curated,n/a,n/a,n/a,n/a
NW-022145603.1:24125953-24126249,17.7,20.63,16.11,28.69,LOC754213,DENN domain-containing protein 2A,118103,296,0.25062868851764986,NW_022145603.1:24052580-24170683,ECB-GENEPAGE-23095977,SPU_011582,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:11422056-11425350,24.29,21.79,8.95,23.39,LOC115928484,uncharacterized LOC115928484,9539,201,2.1071391131145822,NW_022145609.1:11412718-11422257,ECB-GENEPAGE-23132816,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:11422056-11425350,24.29,21.79,8.95,23.39,LOC115928485,adhesion G protein-coupled receptor L3-like,16059,2773,17.267575814185193,NW_022145609.1:11422577-11438636,ECB-GENEPAGE-23132820,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145612.1:20103498-20103591,31.06,43.01,7.59,66.73,LOC584519,telomerase associated protein 1,82517,93,0.1127040488626586,NW_022145612.1:20100851-20183368,ECB-GENEPAGE-23161588,LOC584519|Sp-Tep1|SPU_001240|telomerase associated protein 1|SPU_019163|Sp-Tep1L_9|SPU_024025|telomerase-associated protein 1-like-9|Sp-Tep1L_4|SPU_002865|telomerase-associated protein 1-like-4|SPU_016922|Sp-Tep1-2|SPU_019164|telomerase-associated protein 1-2|telomerase protein component 1|LOC110984550,curated,n/a,n/a,n/a,n/a
NW-022145606.1:39219835-39223102,20.36,24.76,12.31,27.11,LOC100892694,"dynein assembly factor 1, axonemal",17265,3267,18.92267593397046,NW_022145606.1:39212148-39229413,ECB-GENEPAGE-23120238,Sp-Lrrc50|SPU_013321|leucine-rich repeat containing 50,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:9587976-9591240,11.1,14.68,6.44,23.17,LOC100890218,carbohydrate sulfotransferase 14,8204,3264,39.78547050219405,NW_022145603.1:9583772-9591976,ECB-GENEPAGE-23093377,Sp-Chst11L_1| carbohydrate (chondroitin 4) sulfotransferase 11-like-1|SPU_009272,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:32923391-32926653,28.94,15.57,13.3,10.56,LOC591245,receptor-type tyrosine-protein phosphatase epsilon,28041,3262,11.632966014050854,NW_022145609.1:32902088-32930129,ECB-GENEPAGE-23137035,"Sp-EgfiL_6|Sp-Ptpry3|Sp-Fn3f_22|Sp-PtprL2|Receptor protein tyrosine phosphatase mu| sequence |protein tyrosine phosphatase, receptor type-like|Sp-Ptprmp|Receptor-type tyrosine-protein phosphatase mu-like|SPU_014642|SPU_028575|SPU_023872|fibropellin I-like-6",partially curated,n/a,n/a,n/a,"Phosphatase,Phosphatase_Tyrosine,Phosphatase_Tyrosine|Adhesion,Adhesion_ECMFibropellin,Adhesion_ECMFibropellin"
NW-022145601.1:219494-222753,17.6,33.29,7.02,22.67,LOC756047,"arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",48396,3259,6.734027605587238,NW_022145601.1:219278-267674,ECB-GENEPAGE-23079666,"SPU_004016|Sp-Acap2|SPU_019551|ArfGAP with coiled-coil|ankyrin repeat and PH domains 2; centaurin|beta 2|SPU_018118|Sp-Acap2_1|SPU_018120|ankyrin repeat and PH domains 2-1; centaurin|beta 2-1|ArfGAP with coiled-coil, ankyrin repeat and PH domains 2|centaurin, beta 2|ArfGAP with coiled-coil, ankyrin repeat and PH domains 2-1|centaurin, beta 2-1|LOC110976486",partially curated,n/a,n/a,n/a,n/a
NW-022145606.1:16802882-16806134,21.01,25.76,9.37,21.32,LOC100893185,ras and EF-hand domain-containing protein-like,20088,3252,16.188769414575866,NW_022145606.1:16795403-16815491,ECB-GENEPAGE-23116763,Sp-RabO1|SPU_010648|Rab Orphan 1|LOC110982409,partially curated,n/a,n/a,n/a,"GTPase,GTPase_Ras,GTPase_Ras_Rab"
NW-022145607.1:27458827-27462073,24.36,27.53,10.11,28.65,LOC100889690,uncharacterized LOC100889690,15446,3246,21.015149553282402,NW_022145607.1:27456281-27471727,ECB-GENEPAGE-23127275,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:28255202-28255262,13.75,32.92,19.67,29.82,LOC588194,hemicentin-1,8679,60,0.691323885240235,NW_022145610.1:28254666-28263345,ECB-GENEPAGE-23144190,SPU_007712,partially curated,n/a,n/a,n/a,n/a
NW-022145609.1:15641780-15641783,96.33,58.0,9.33,94.33,LOC100894098,ciliogenesis and planar polarity effector 1,49797,3,0.006024459304777396,NW_022145609.1:15601868-15651665,ECB-GENEPAGE-23133673,hypothetical protein-1096|Sp-Hypp_1096|Sp-C5orf42L|SPU_023770|SPU_000794|human chromosome 5 open reading frame 42-like|LOC100894098|uncharacterized LOC100894098,curated,n/a,n/a,n/a,n/a
NW-022145603.1:28481743-28484959,22.09,18.61,7.92,28.84,LOC100891623,serum amyloid A like 1,11021,2573,23.346338807730696,NW_022145603.1:28473295-28484316,ECB-GENEPAGE-23096856,protein saal1|LOC100891623|Sp-SaaL1|SPU_006851|serum amyloid A-like 1|LOC110975468,curated,n/a,n/a,n/a,n/a
NW-022145601.1:21802910-21806124,23.22,30.05,15.42,10.15,LOC580123,aminopeptidase N,21855,3214,14.706016929764356,NW_022145601.1:21790074-21811929,ECB-GENEPAGE-23084217,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145613.1:34666507-34669710,11.66,22.42,5.45,91.0,LOC762407,pleckstrin homology domain containing A8,22142,3203,14.465721253725949,NW_022145613.1:34651421-34673563,ECB-GENEPAGE-23179636,"Sp-Plekha8| pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 8|LOC762407|SPU_010502|SPU_013198|pleckstrin homology domain-containing family A member 8|LOC110973124",curated,n/a,n/a,n/a,"Metabolism,Metabolism_Carbohydrate,Metabolism_Carbohydrate"
NW-022145609.1:34830095-34833292,26.42,33.52,14.37,34.03,LOC581363,phenylalanyl-tRNA synthetase subunit alpha,25683,2399,9.34080909551065,NW_022145609.1:34830893-34856576,ECB-GENEPAGE-23137418,LOC581363|Sp-Farsa| phenylalanyl-tRNA synthetase alpha subunit|SPU_009735|phenylalanine--tRNA ligase alpha subunit|LOC110987252,curated,n/a,n/a,n/a,n/a
NW-022145605.1:630587-630675,15.91,28.18,13.89,27.5,LOC588932,synergin gamma,30030,88,0.29304029304029305,NW_022145605.1:616512-646542,ECB-GENEPAGE-23104645,Sp-Ap1gbp1L|SPU_019119|AP1 gamma subunit binding protein 1-like|LOC588932|LOC110985434,curated,n/a,n/a,n/a,n/a
NW-022145596.1:17689418-17692576,14.24,21.3,7.15,21.89,LOC594257,TBC1 domain containing kinase,20135,1770,8.790663024584058,NW_022145596.1:17671053-17691188,ECB-GENEPAGE-23046512,LOC594257|SPU_019160|Sp-TbckL|Sp-Upk_1|SPU_017455|unknown ST protein kinase|TBC domain-containing protein kinase-like|TBC domain-containing protein kinase-like protein|LOC110975908,curated,n/a,n/a,n/a,"Kinase,Kinase_Other,Kinase_Other"
NW-022145606.1:51123345-51126493,8.05,15.04,5.49,8.04,LOC100889772,sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),25466,650,2.5524228382941963,NW_022145606.1:51125843-51151309,ECB-GENEPAGE-23122144,"Sp-Slc6a5| solute carrier family 6 (neurotransmitter transporter, glycine), member 5|SPU_001564",partially curated,n/a,n/a,n/a,n/a
NW-022145612.1:33720357-33723485,34.97,61.04,17.55,36.24,LOC576685,signal sequence receptor subunit 4,10451,175,1.6744809109176158,NW_022145612.1:33723310-33733761,ECB-GENEPAGE-23164967,"Sp-Ssr4_1|Sp-Ssr4| signal sequence receptor, delta |SPU_015044|SPU_011230|LOC576685|translocon-associated protein subunit delta|LOC110974935",curated,n/a,n/a,n/a,n/a
NW-022145600.1:3631298-3634421,13.15,24.8,5.47,25.53,LOC115923981,nucleolar protein 56-like,13749,3123,22.714379227580185,NW_022145600.1:3628340-3642089,ECB-GENEPAGE-23072849,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145603.1:23885002-23888104,30.22,33.71,13.03,30.05,LOC576174,four-jointed box protein 1,26907,3102,11.52859850596499,NW_022145603.1:23868251-23895158,ECB-GENEPAGE-23095940,Sp-Fjx1l|SPU_018848|four jointed box 1|LOC110975090,partially curated,n/a,n/a,n/a,n/a
NW-022145607.1:43888739-43891823,14.17,18.05,9.08,13.53,LOC578133,"prolyl-tRNA synthetase 2, mitochondrial",13683,3084,22.53891690418768,NW_022145607.1:43888589-43902272,ECB-GENEPAGE-23130419,"LOC578133|prolyl-tRNA synthetase|Sp-Pars2|SPU_024072|SPU_008750|probable proline--tRNA ligase, mitochondrial|LOC110989971",curated,n/a,n/a,n/a,n/a
NW-022145609.1:23029168-23029334,64.54,66.08,11.96,58.28,LOC753562,nuclear pore complex protein Nup155,35715,166,0.4647907041859163,NW_022145609.1:23014946-23050661,ECB-GENEPAGE-23134876,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145612.1:7136714-7139776,19.11,25.38,11.96,20.61,LOC753057,peroxisomal trans-2-enoyl-CoA reductase-like,7621,828,10.864715916546384,NW_022145612.1:7138948-7146569,ECB-GENEPAGE-23157946," Peroxisomal 2,4-dienoyl CoA reductase | RLF98 |Sp-Pecr_1|SPU_016826|Peroxisomal trans-2-enoyl-CoA reductase",partially curated,n/a,n/a,KEGG:spu:753057,n/a
NW-022145607.1:33970785-33970813,89.39,62.36,15.29,81.39,LOC591818,soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,9377,28,0.29860296470086384,NW_022145607.1:33970565-33979942,ECB-GENEPAGE-23128499,Sp-Hypp_1150| skeletor-like |Sp-SkeletorL|hypothetical protein-1150|SPU_007725|SPU_025499|SPU_010459,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:389566-390908,16.11,30.3,7.85,14.94,LOC115918404,Down syndrome cell adhesion molecule homolog,43967,1342,3.0522892169126843,NW_022145594.1:368031-411998,ECB-GENEPAGE-23027068,SPU_000057|Igcam|SPU_009818|Sp-DscamL_1,partially curated,n/a,n/a,n/a,"Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3"
NW-022145612.1:14696142-14697399,50.01,56.5,17.82,70.11,LOC115919112,missing,5275,1257,23.829383886255926,NW_022145612.1:14695541-14700816,ECB-GENEPAGE-23073488,SPU_012077,partially curated,n/a,n/a,n/a,n/a
NW-022145594.1:16256397-16259430,12.42,16.24,7.43,7.95,LOC100892750,myelin-associated glycoprotein-like,2926,2772,94.73684210526315,NW_022145594.1:16256243-16259169,ECB-GENEPAGE-23029452,SPU_000406|Igf|SPU_010123|Sp-Igf_10,partially curated,n/a,n/a,n/a,"Adhesion,Adhesion_ReceptorIgFN3,Adhesion_ReceptorIgFN3"
NW-022145612.1:21921905-21924934,17.48,33.71,10.03,36.53,LOC591764,alkaline serine exoprotease A,7945,2687,33.820012586532414,NW_022145612.1:21922247-21930192,ECB-GENEPAGE-23162191,Sp-Asp_14| alkaline serine protease-14|SPU_013506|SPU_019086,partially curated,n/a,n/a,n/a,n/a
NW-022145614.1:16014623-16017646,66.43,76.42,26.01,9.82,LOC115920256,arrestin domain-containing protein 3-like,15071,3023,20.058390285979698,NW_022145614.1:16003989-16019060,ECB-GENEPAGE-23184780,n/a,partially curated,n/a,n/a,n/a,n/a
NW-022145610.1:9335453-9338473,19.4,27.84,10.97,39.36,LOC578308,phosphohistidine phosphatase 1,4857,3020,62.178299361745935,NW_022145610.1:9335074-9339931,ECB-GENEPAGE-23140244,janus homolog| phosphohistidine phosphatase 1 |Sp-Phpt1|Protein histidine phosphatase|SPU_009388|Sp-Php|LOC578308|14 kDa phosphohistidine phosphatase|LOC110976262,curated,n/a,n/a,KEGG:spu:578308,n/a
NW-022145606.1:19677782-19680794,9.24,11.34,7.92,41.42,LOC100894015,semaphorin-4A,34129,3012,8.825339154384833,NW_022145606.1:19648140-19682269,ECB-GENEPAGE-23117423,n/a,partially curated,n/a,n/a,n/a,n/a
