ECB-GENEPAGE-23009062	ECB-GENE-23009063	LOC105443448	KEGG:spu:105443448
ECB-GENEPAGE-23042820	ECB-GENE-23042821	LOC578862	KEGG:spu:578862
ECB-GENEPAGE-23042847	ECB-GENE-23042848	hmgb1l	KEGG:spu:373332
ECB-GENEPAGE-23042897	ECB-GENE-23042898	LOC574660	KEGG:spu:574660
ECB-GENEPAGE-23042935	ECB-GENE-23042936	LOC578435	KEGG:spu:578435
ECB-GENEPAGE-23043009	ECB-GENE-23043010	LOC587338	KEGG:spu:587338
ECB-GENEPAGE-23043147	ECB-GENE-23043148	LOC582054	KEGG:spu:582054
ECB-GENEPAGE-23043153	ECB-GENE-23043154	LOC582093	KEGG:spu:582093
ECB-GENEPAGE-23043159	ECB-GENE-23043160	LOC100892913	KEGG:spu:100892913
ECB-GENEPAGE-23043165	ECB-GENE-23043166	LOC100892835	KEGG:spu:100892835
ECB-GENEPAGE-23043212	ECB-GENE-23043213	LOC755401	KEGG:spu:755401
ECB-GENEPAGE-23043226	ECB-GENE-23043227	LOC757221	KEGG:spu:757221
ECB-GENEPAGE-23043238	ECB-GENE-23043239	LOC575734	KEGG:spu:575734
ECB-GENEPAGE-23043308	ECB-GENE-23043309	LOC577682	KEGG:spu:577682
ECB-GENEPAGE-23043312	ECB-GENE-23043313	LOC753782	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23043355	ECB-GENE-23043356	rrm1	KEGG:spu:581431
ECB-GENEPAGE-23043361	ECB-GENE-23043362	LOC586385	KEGG:spu:586385
ECB-GENEPAGE-23043403	ECB-GENE-23043404	LOC581345	KEGG:spu:581345
ECB-GENEPAGE-23043548	ECB-GENE-23043549	LOC105446635	KEGG:spu:105446635
ECB-GENEPAGE-23043613	ECB-GENE-23043614	LOC762872	KEGG:spu:762872
ECB-GENEPAGE-23043672	ECB-GENE-23043673	LOC578050	KEGG:spu:578050
ECB-GENEPAGE-23043716	ECB-GENE-23043717	LOC587771	KEGG:spu:587771
ECB-GENEPAGE-23043843	ECB-GENE-23043844	LOC575008	KEGG:spu:575008
ECB-GENEPAGE-23043895	ECB-GENE-23043896	LOC579875	KEGG:spu:579875
ECB-GENEPAGE-23043905	ECB-GENE-23043906	LOC579990	KEGG:spu:579990
ECB-GENEPAGE-23043939	ECB-GENE-23043940	LOC592147	KEGG:spu:592147
ECB-GENEPAGE-23044057	ECB-GENE-23044058	KRP85	KEGG:spu:373466
ECB-GENEPAGE-23044101	ECB-GENE-23044102	LOC575713	KEGG:spu:575713
ECB-GENEPAGE-23044170	ECB-GENE-23044171	LOC593435	KEGG:spu:593435
ECB-GENEPAGE-23044242	ECB-GENE-23044243	LOC577120	KEGG:spu:577120
ECB-GENEPAGE-23044369	ECB-GENE-23044370	LOC100893874	KEGG:spu:100893874
ECB-GENEPAGE-23044432	ECB-GENE-23044433	LOC100893496	KEGG:spu:100893496
ECB-GENEPAGE-23044490	ECB-GENE-23044491	LOC100889432	KEGG:spu:100889432
ECB-GENEPAGE-23044496	ECB-GENE-23044497	fgf	KEGG:spu:582058
ECB-GENEPAGE-23044690	ECB-GENE-23044691	rnf14	KEGG:spu:580319
ECB-GENEPAGE-23044717	ECB-GENE-23044718	LOC580437	KEGG:spu:580437
ECB-GENEPAGE-23044738	ECB-GENE-23044739	fbxo8	KEGG:spu:580621
ECB-GENEPAGE-23044744	ECB-GENE-23044745	LOC754474	KEGG:spu:754474
ECB-GENEPAGE-23044750	ECB-GENE-23044751	LOC579888	KEGG:spu:579888
ECB-GENEPAGE-23044758	ECB-GENE-23044759	rpl9	KEGG:spu:591874
ECB-GENEPAGE-23044846	ECB-GENE-23044847	LOC577515	KEGG:spu:577515
ECB-GENEPAGE-23044880	ECB-GENE-23044881	LOC594421	KEGG:spu:594421
ECB-GENEPAGE-23044927	ECB-GENE-23044928	LOC582049	KEGG:spu:582049
ECB-GENEPAGE-23044933	ECB-GENE-23044934	LOC577450	KEGG:spu:577450
ECB-GENEPAGE-23044960	ECB-GENE-23044961	LOC577693	KEGG:spu:577693
ECB-GENEPAGE-23044980	ECB-GENE-23044981	sia8	KEGG:spu:100144871
ECB-GENEPAGE-23045035	ECB-GENE-23045036	ephx2	KEGG:spu:590472
ECB-GENEPAGE-23045067	ECB-GENE-23045068	arsal	KEGG:spu:373270
ECB-GENEPAGE-23045157	ECB-GENE-23045158	LOC585510	KEGG:spu:585510
ECB-GENEPAGE-23045198	ECB-GENE-23045199	hsp110	KEGG:spu:373300
ECB-GENEPAGE-23045381	ECB-GENE-23045382	LOC578034	KEGG:spu:578034
ECB-GENEPAGE-23045462	ECB-GENE-23045463	LOC589456	KEGG:spu:589456
ECB-GENEPAGE-23045486	ECB-GENE-23045487	LOC580394	KEGG:spu:580394
ECB-GENEPAGE-23045756	ECB-GENE-23045757	LOC584062	KEGG:spu:584062
ECB-GENEPAGE-23045792	ECB-GENE-23045793	hlf	KEGG:spu:593063
ECB-GENEPAGE-23045805	ECB-GENE-23045806	LOC584270	KEGG:spu:584270
ECB-GENEPAGE-23045834	ECB-GENE-23045835	pdx1l	KEGG:spu:373527
ECB-GENEPAGE-23045908	ECB-GENE-23045909	rps3	KEGG:spu:593744
ECB-GENEPAGE-23046030	ECB-GENE-23046031	commd5	KEGG:spu:588044
ECB-GENEPAGE-23046057	ECB-GENE-23046058	LOC582158	KEGG:spu:582158
ECB-GENEPAGE-23046094	ECB-GENE-23046095	LOC590977	KEGG:spu:590977
ECB-GENEPAGE-23046208	ECB-GENE-23046209	lrrc59	KEGG:spu:588568
ECB-GENEPAGE-23046248	ECB-GENE-23046249	LOC580581	KEGG:spu:580581
ECB-GENEPAGE-23046310	ECB-GENE-23046311	LOC100890870	KEGG:spu:100890870
ECB-GENEPAGE-23046316	ECB-GENE-23046317	LOC574877	KEGG:spu:574877
ECB-GENEPAGE-23046462	ECB-GENE-23046463	LOC754126	KEGG:spu:105440217,KEGG:spu:581030,KEGG:spu:582332,KEGG:spu:754126
ECB-GENEPAGE-23046466	ECB-GENE-23046467	LOC754292	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23046587	ECB-GENE-23046588	dhrsx	KEGG:spu:576566
ECB-GENEPAGE-23046626	ECB-GENE-23046627	LOC585367	KEGG:spu:585367
ECB-GENEPAGE-23046631	ECB-GENE-23046632	LOC585390	KEGG:spu:585390
ECB-GENEPAGE-23046640	ECB-GENE-23046641	LOC590331	KEGG:spu:590331
ECB-GENEPAGE-23046658	ECB-GENE-23046659	LOC100889508	KEGG:spu:100889508
ECB-GENEPAGE-23046663	ECB-GENE-23046664	LOC105440333	KEGG:spu:105440333
ECB-GENEPAGE-23046715	ECB-GENE-23046716	LOC100890128	KEGG:spu:100890128
ECB-GENEPAGE-23046749	ECB-GENE-23046750	LOC100890002	KEGG:spu:100890002
ECB-GENEPAGE-23047018	ECB-GENE-23047019	LOC105437947	KEGG:spu:105437947
ECB-GENEPAGE-23047043	ECB-GENE-23047044	LOC105446424	KEGG:spu:105446424
ECB-GENEPAGE-23047048	ECB-GENE-23047049	LOC587944	KEGG:spu:587944
ECB-GENEPAGE-23047243	ECB-GENE-23047244	LOC105439883	KEGG:spu:105439883
ECB-GENEPAGE-23047371	ECB-GENE-23047372	LOC100888410	KEGG:spu:100888410
ECB-GENEPAGE-23047385	ECB-GENE-23047386	LOC587971	KEGG:spu:587971
ECB-GENEPAGE-23047715	ECB-GENE-23047716	LOC100889568	KEGG:spu:100889568
ECB-GENEPAGE-23047765	ECB-GENE-23047766	LOC100892981	KEGG:spu:100892981
ECB-GENEPAGE-23047955	ECB-GENE-23047956	xpnpep3	KEGG:spu:589159
ECB-GENEPAGE-23047968	ECB-GENE-23047969	LOC591756	KEGG:spu:591756
ECB-GENEPAGE-23047993	ECB-GENE-23047994	LOC591601	KEGG:spu:591601
ECB-GENEPAGE-23048012	ECB-GENE-23048013	LOC586867	KEGG:spu:586867
ECB-GENEPAGE-23048042	ECB-GENE-23048043	tmem184c	KEGG:spu:574785
ECB-GENEPAGE-23048093	ECB-GENE-23048094	LOC763865	KEGG:spu:763865
ECB-GENEPAGE-23048274	ECB-GENE-23048275	LOC105443304	KEGG:spu:105443304
ECB-GENEPAGE-23048288	ECB-GENE-23048289	LOC100893136	KEGG:spu:100893136
ECB-GENEPAGE-23048336	ECB-GENE-23048337	LOC589472	KEGG:spu:589472
ECB-GENEPAGE-23048548	ECB-GENE-23048549	LOC373484	KEGG:spu:373484
ECB-GENEPAGE-23048568	ECB-GENE-23048569	LOC576571	KEGG:spu:576571
ECB-GENEPAGE-23048606	ECB-GENE-23048607	LOC587288	KEGG:spu:587288
ECB-GENEPAGE-23048736	ECB-GENE-23048737	LOC105439410	KEGG:spu:105439410
ECB-GENEPAGE-23048764	ECB-GENE-23048765	pdzd8	KEGG:spu:586457
ECB-GENEPAGE-23048791	ECB-GENE-23048792	ephx2l	KEGG:spu:752510
ECB-GENEPAGE-23048808	ECB-GENE-23048809	SpP19L	KEGG:spu:373524
ECB-GENEPAGE-23048995	ECB-GENE-23048996	rps3a	KEGG:spu:575056
ECB-GENEPAGE-23049016	ECB-GENE-23049017	hpf1	KEGG:spu:584680
ECB-GENEPAGE-23049107	ECB-GENE-23049108	gucy1b1	KEGG:spu:581605
ECB-GENEPAGE-23049167	ECB-GENE-23049168	LOC585087	KEGG:spu:585087
ECB-GENEPAGE-23049198	ECB-GENE-23049199	cnot7	KEGG:spu:581282
ECB-GENEPAGE-23049233	ECB-GENE-23049234	tmem165	KEGG:spu:594177
ECB-GENEPAGE-23049295	ECB-GENE-23049296	LOC593840	KEGG:spu:593840
ECB-GENEPAGE-23049338	ECB-GENE-23049339	LOC592251	KEGG:spu:592251
ECB-GENEPAGE-23049383	ECB-GENE-23049384	tgm1	KEGG:spu:578380
ECB-GENEPAGE-23049397	ECB-GENE-23049398	LOC585433	KEGG:spu:585433
ECB-GENEPAGE-23049403	ECB-GENE-23049404	rab30	KEGG:spu:105441035
ECB-GENEPAGE-23049456	ECB-GENE-23049457	LOC100893351	KEGG:spu:100893351
ECB-GENEPAGE-23049472	ECB-GENE-23049473	atp6v0c	KEGG:spu:593221
ECB-GENEPAGE-23049499	ECB-GENE-23049500	LOC105440217	KEGG:spu:105440217,KEGG:spu:581030,KEGG:spu:582332,KEGG:spu:754126
ECB-GENEPAGE-23049507	ECB-GENE-23049508	LOC753158	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23049511	ECB-GENE-23049512	LOC373342	KEGG:spu:373342
ECB-GENEPAGE-23049519	ECB-GENE-23049520	h2a	KEGG:spu:373337,KEGG:spu:753951
ECB-GENEPAGE-23049533	ECB-GENE-23049534	h4	KEGG:spu:373325,KEGG:spu:373341,KEGG:spu:373343,KEGG:spu:373346,KEGG:spu:752187,KEGG:spu:753158,KEGG:spu:753782,KEGG:spu:753944,KEGG:spu:754292,KEGG:spu:754479
ECB-GENEPAGE-23049670	ECB-GENE-23049671	NCKX	KEGG:spu:373483
ECB-GENEPAGE-23049809	ECB-GENE-23049810	LOC592934	KEGG:spu:592934
ECB-GENEPAGE-23049820	ECB-GENE-23049821	LOC592975	KEGG:spu:592975
ECB-GENEPAGE-23049826	ECB-GENE-23049827	LOC592983	KEGG:spu:592983
ECB-GENEPAGE-23050077	ECB-GENE-23050078	LOC590174	KEGG:spu:590174
ECB-GENEPAGE-23050102	ECB-GENE-23050103	LOC753090	KEGG:spu:753090
ECB-GENEPAGE-23050257	ECB-GENE-23050258	LOC583539	KEGG:spu:583539
ECB-GENEPAGE-23050400	ECB-GENE-23050401	LOC100891194	KEGG:spu:100891194
ECB-GENEPAGE-23050410	ECB-GENE-23050411	LOC590810	KEGG:spu:590810
ECB-GENEPAGE-23050446	ECB-GENE-23050447	arc3	KEGG:spu:100126187
ECB-GENEPAGE-23050585	ECB-GENE-23050586	spryd7	KEGG:spu:577035
ECB-GENEPAGE-23050591	ECB-GENE-23050592	gpr161	KEGG:spu:577094
ECB-GENEPAGE-23050621	ECB-GENE-23050622	LOC592845	KEGG:spu:592845
ECB-GENEPAGE-23050667	ECB-GENE-23050668	tfdp1	KEGG:spu:594176
ECB-GENEPAGE-23050680	ECB-GENE-23050681	fbxo45	KEGG:spu:754083
ECB-GENEPAGE-23050792	ECB-GENE-23050793	eif4e2	KEGG:spu:575773
ECB-GENEPAGE-23050850	ECB-GENE-23050851	nr2e1l2	KEGG:spu:590867
ECB-GENEPAGE-23050879	ECB-GENE-23050880	LOC100892143	KEGG:spu:100892143
ECB-GENEPAGE-23050937	ECB-GENE-23050938	mpdu1	KEGG:spu:592107
ECB-GENEPAGE-23050955	ECB-GENE-23050956	LOC575753	KEGG:spu:575753
ECB-GENEPAGE-23051616	ECB-GENE-23051617	LOC582091	KEGG:spu:582091
ECB-GENEPAGE-23051621	ECB-GENE-23051622	LOC582048	KEGG:spu:582048
ECB-GENEPAGE-23052110	ECB-GENE-23052111	LOC100890941	KEGG:spu:100890941
ECB-GENEPAGE-23052122	ECB-GENE-23052123	LOC100891018	KEGG:spu:100891018
ECB-GENEPAGE-23052177	ECB-GENE-23052178	LOC588984	KEGG:spu:588984
ECB-GENEPAGE-23052344	ECB-GENE-23052345	LOC762935	KEGG:spu:762935
ECB-GENEPAGE-23052388	ECB-GENE-23052389	LOC583656	KEGG:spu:583656
ECB-GENEPAGE-23052426	ECB-GENE-23052427	efhc2	KEGG:spu:593993
ECB-GENEPAGE-23052517	ECB-GENE-23052518	LOC583099	KEGG:spu:583099
ECB-GENEPAGE-23052537	ECB-GENE-23052538	LOC583115	KEGG:spu:583115
ECB-GENEPAGE-23052550	ECB-GENE-23052551	LOC583144	KEGG:spu:583144
ECB-GENEPAGE-23052591	ECB-GENE-23052592	LOC100893638	KEGG:spu:100893638
ECB-GENEPAGE-23052599	ECB-GENE-23052600	LOC592766	KEGG:spu:592766
ECB-GENEPAGE-23052717	ECB-GENE-23052718	LOC100890056	KEGG:spu:100890056
ECB-GENEPAGE-23052754	ECB-GENE-23052755	LOC590457	KEGG:spu:590457
ECB-GENEPAGE-23052778	ECB-GENE-23052779	LOC583119	KEGG:spu:583119
ECB-GENEPAGE-23052838	ECB-GENE-23052839	commd2	KEGG:spu:575524
ECB-GENEPAGE-23052931	ECB-GENE-23052932	LOC591240	KEGG:spu:591240
ECB-GENEPAGE-23053066	ECB-GENE-23053067	LOC587286	KEGG:spu:587286
ECB-GENEPAGE-23053176	ECB-GENE-23053177	dtymk	KEGG:spu:584731
ECB-GENEPAGE-23053452	ECB-GENE-23053453	LOC588600	KEGG:spu:588600
ECB-GENEPAGE-23053508	ECB-GENE-23053509	LOC582287	KEGG:spu:582287
ECB-GENEPAGE-23053522	ECB-GENE-23053523	LOC590817	KEGG:spu:590817
ECB-GENEPAGE-23053528	ECB-GENE-23053529	col4a6	KEGG:spu:373269
ECB-GENEPAGE-23053546	ECB-GENE-23053547	col4a1	KEGG:spu:373182
ECB-GENEPAGE-23053571	ECB-GENE-23053572	LOC587597	KEGG:spu:587597
ECB-GENEPAGE-23053639	ECB-GENE-23053640	LOC582242	KEGG:spu:582242
ECB-GENEPAGE-23053730	ECB-GENE-23053731	egfIII	KEGG:spu:373315
ECB-GENEPAGE-23053765	ECB-GENE-23053766	LOC577782	KEGG:spu:577782
ECB-GENEPAGE-23053900	ECB-GENE-23053901	LOC105438643	KEGG:spu:105438643
ECB-GENEPAGE-23053973	ECB-GENE-23053974	pacrg	KEGG:spu:586307
ECB-GENEPAGE-23053996	ECB-GENE-23053997	tert	KEGG:spu:105447117
ECB-GENEPAGE-23054103	ECB-GENE-23054104	sox14	KEGG:spu:373201
ECB-GENEPAGE-23054148	ECB-GENE-23054149	sox2	KEGG:spu:373202
ECB-GENEPAGE-23054343	ECB-GENE-23054344	LOC589243	KEGG:spu:589243
ECB-GENEPAGE-23054549	ECB-GENE-23054550	LOC100890706	KEGG:spu:100890706
ECB-GENEPAGE-23054555	ECB-GENE-23054556	LOC100890621	KEGG:spu:100890621
ECB-GENEPAGE-23054580	ECB-GENE-23054581	LOC586206	KEGG:spu:586206
ECB-GENEPAGE-23054592	ECB-GENE-23054593	LOC588224	KEGG:spu:588224
ECB-GENEPAGE-23054678	ECB-GENE-23054679	LOC579844	KEGG:spu:579844
ECB-GENEPAGE-23054709	ECB-GENE-23054710	LOC100889620	KEGG:spu:100889620
ECB-GENEPAGE-23054756	ECB-GENE-23054757	LOC100888378	KEGG:spu:100888378
ECB-GENEPAGE-23054813	ECB-GENE-23054814	bcs1l	KEGG:spu:579223
ECB-GENEPAGE-23054819	ECB-GENE-23054820	LOC579106	KEGG:spu:579106
ECB-GENEPAGE-23054828	ECB-GENE-23054829	gpc-6	KEGG:spu:578977
ECB-GENEPAGE-23054965	ECB-GENE-23054966	LOC575711	KEGG:spu:575711
ECB-GENEPAGE-23055009	ECB-GENE-23055010	LOC579612	KEGG:spu:579612
ECB-GENEPAGE-23055015	ECB-GENE-23055016	LOC579680	KEGG:spu:579680
ECB-GENEPAGE-23055218	ECB-GENE-23055219	rpl8a	KEGG:spu:591341
ECB-GENEPAGE-23055286	ECB-GENE-23055287	LOC577213	KEGG:spu:577213
ECB-GENEPAGE-23055323	ECB-GENE-23055324	pdcd10	KEGG:spu:592447
ECB-GENEPAGE-23055408	ECB-GENE-23055409	wdr83	KEGG:spu:586496
ECB-GENEPAGE-23055464	ECB-GENE-23055465	ppm1l	KEGG:spu:586824
ECB-GENEPAGE-23055470	ECB-GENE-23055471	LOC586803	KEGG:spu:586803
ECB-GENEPAGE-23055548	ECB-GENE-23055549	olfm1b	KEGG:spu:373503
ECB-GENEPAGE-23055568	ECB-GENE-23055569	LOC100889493	KEGG:spu:100889493
ECB-GENEPAGE-23055722	ECB-GENE-23055723	LOC100891300	KEGG:spu:100891300
ECB-GENEPAGE-23055751	ECB-GENE-23055752	LOC577636	KEGG:spu:577636
ECB-GENEPAGE-23055813	ECB-GENE-23055814	LOC752978	KEGG:spu:752978
ECB-GENEPAGE-23055993	ECB-GENE-23055994	arc4	KEGG:spu:100859964
ECB-GENEPAGE-23056012	ECB-GENE-23056013	gpalpp1	KEGG:spu:592003
ECB-GENEPAGE-23056026	ECB-GENE-23056027	LOC579450	KEGG:spu:579450
ECB-GENEPAGE-23056040	ECB-GENE-23056041	LOC593892	KEGG:spu:593892
ECB-GENEPAGE-23056064	ECB-GENE-23056065	LOC586864	KEGG:spu:586864
ECB-GENEPAGE-23056080	ECB-GENE-23056081	Gpc-5	KEGG:spu:588355
ECB-GENEPAGE-23056086	ECB-GENE-23056087	sucla2	KEGG:spu:581673
ECB-GENEPAGE-23056204	ECB-GENE-23056205	LOC100890097	KEGG:spu:100890097
ECB-GENEPAGE-23056248	ECB-GENE-23056249	LOC764975	KEGG:spu:764975
ECB-GENEPAGE-23056342	ECB-GENE-23056343	repin1l	KEGG:spu:105438893
ECB-GENEPAGE-23056352	ECB-GENE-23056353	eif4a	KEGG:spu:575736
ECB-GENEPAGE-23056517	ECB-GENE-23056518	LOC100887960	KEGG:spu:100887960
ECB-GENEPAGE-23056643	ECB-GENE-23056644	LOC577953	KEGG:spu:577953
ECB-GENEPAGE-23056730	ECB-GENE-23056731	LOC577816	KEGG:spu:577816
ECB-GENEPAGE-23056744	ECB-GENE-23056745	LOC578025	KEGG:spu:578025
ECB-GENEPAGE-23057000	ECB-GENE-23057001	LOC373254	KEGG:spu:373254
ECB-GENEPAGE-23057020	ECB-GENE-23057021	LOC591310	KEGG:spu:591310
ECB-GENEPAGE-23057105	ECB-GENE-23057106	LOC582169	KEGG:spu:582169
ECB-GENEPAGE-23057168	ECB-GENE-23057169	LOC583520	KEGG:spu:583520
ECB-GENEPAGE-23057281	ECB-GENE-23057282	LOC592760	KEGG:spu:592760
ECB-GENEPAGE-23057322	ECB-GENE-23057323	pofut1	KEGG:spu:589493
ECB-GENEPAGE-23057386	ECB-GENE-23057387	LOC752077	KEGG:spu:752077
ECB-GENEPAGE-23057488	ECB-GENE-23057489	LOC100891205	KEGG:spu:100891205
ECB-GENEPAGE-23057609	ECB-GENE-23057610	LOC594470	KEGG:spu:594470
ECB-GENEPAGE-23057644	ECB-GENE-23057645	LOC579918	KEGG:spu:579918
ECB-GENEPAGE-23057675	ECB-GENE-23057676	LOC589845	KEGG:spu:589845
ECB-GENEPAGE-23057761	ECB-GENE-23057762	h1l	KEGG:spu:591814
ECB-GENEPAGE-23057798	ECB-GENE-23057799	LOC105440064	KEGG:spu:105440064
ECB-GENEPAGE-23057866	ECB-GENE-23057867	rps12	KEGG:spu:590740
ECB-GENEPAGE-23057901	ECB-GENE-23057902	LOC594559	KEGG:spu:594559
ECB-GENEPAGE-23057907	ECB-GENE-23057908	LOC579431	KEGG:spu:579431
ECB-GENEPAGE-23057984	ECB-GENE-23057985	LOC574667	KEGG:spu:574667
ECB-GENEPAGE-23058001	ECB-GENE-23058002	stpg1	KEGG:spu:593119
ECB-GENEPAGE-23058394	ECB-GENE-23058395	LOC587746	KEGG:spu:587746
ECB-GENEPAGE-23058420	ECB-GENE-23058421	LOC105446402	KEGG:spu:105446402
ECB-GENEPAGE-23059063	ECB-GENE-23059064	LOC590023	KEGG:spu:590023
ECB-GENEPAGE-23059068	ECB-GENE-23059069	LOC589998	KEGG:spu:589998
ECB-GENEPAGE-23059086	ECB-GENE-23059087	LOC585486	KEGG:spu:585486
ECB-GENEPAGE-23059289	ECB-GENE-23059290	LOC577952	KEGG:spu:577952
ECB-GENEPAGE-23059581	ECB-GENE-23059582	LOC589191	KEGG:spu:589191
ECB-GENEPAGE-23059587	ECB-GENE-23059588	LOC587688	KEGG:spu:587688
ECB-GENEPAGE-23059610	ECB-GENE-23059611	LOC100891896	KEGG:spu:100891896
ECB-GENEPAGE-23059805	ECB-GENE-23059806	sox17l	KEGG:spu:587141
ECB-GENEPAGE-23059867	ECB-GENE-23059868	LOC592056	KEGG:spu:592056
ECB-GENEPAGE-23059894	ECB-GENE-23059895	LOC100890726	KEGG:spu:100890726
ECB-GENEPAGE-23059983	ECB-GENE-23059984	LOC575085	KEGG:spu:575085
ECB-GENEPAGE-23060095	ECB-GENE-23060096	rps20	KEGG:spu:576658
ECB-GENEPAGE-23060326	ECB-GENE-23060327	SFK1	KEGG:spu:373472
ECB-GENEPAGE-23060429	ECB-GENE-23060430	LOC593521	KEGG:spu:593521
ECB-GENEPAGE-23060478	ECB-GENE-23060479	LOC105445439	KEGG:spu:105445439
ECB-GENEPAGE-23060605	ECB-GENE-23060606	LOC594572	KEGG:spu:594572
ECB-GENEPAGE-23060790	ECB-GENE-23060791	eif3h	KEGG:spu:575080
ECB-GENEPAGE-23060796	ECB-GENE-23060797	LOC575151	KEGG:spu:575151
ECB-GENEPAGE-23060827	ECB-GENE-23060828	LOC581854	KEGG:spu:581854
ECB-GENEPAGE-23060832	ECB-GENE-23060833	vps28	KEGG:spu:581807
ECB-GENEPAGE-23060842	ECB-GENE-23060843	LOC587543	KEGG:spu:587543
ECB-GENEPAGE-23061059	ECB-GENE-23061060	LOC585736	KEGG:spu:585736
ECB-GENEPAGE-23061166	ECB-GENE-23061167	mos	KEGG:spu:584463
ECB-GENEPAGE-23061229	ECB-GENE-23061230	src	KEGG:spu:590498
ECB-GENEPAGE-23061335	ECB-GENE-23061336	LOC100892161	KEGG:spu:100892161
ECB-GENEPAGE-23061381	ECB-GENE-23061382	LOC575247	KEGG:spu:575247
ECB-GENEPAGE-23061408	ECB-GENE-23061409	LOC589280	KEGG:spu:589280
ECB-GENEPAGE-23061591	ECB-GENE-23061592	LOC582811	KEGG:spu:582811
ECB-GENEPAGE-23061625	ECB-GENE-23061626	LOC582976	KEGG:spu:582976
ECB-GENEPAGE-23061631	ECB-GENE-23061632	mrpl15	KEGG:spu:581576
ECB-GENEPAGE-23061672	ECB-GENE-23061673	hck	KEGG:spu:577155
ECB-GENEPAGE-23061739	ECB-GENE-23061740	LOC588937	KEGG:spu:588937
ECB-GENEPAGE-23061759	ECB-GENE-23061760	LOC586717	KEGG:spu:586717
ECB-GENEPAGE-23061782	ECB-GENE-23061783	LOC373351	KEGG:spu:373351
ECB-GENEPAGE-23061849	ECB-GENE-23061850	LOC100892182	KEGG:spu:100892182
ECB-GENEPAGE-23061927	ECB-GENE-23061928	atpsckmt	KEGG:spu:589341
ECB-GENEPAGE-23061969	ECB-GENE-23061970	sox4	KEGG:spu:593520
ECB-GENEPAGE-23062064	ECB-GENE-23062065	SFK7	KEGG:spu:577286
ECB-GENEPAGE-23062072	ECB-GENE-23062073	ROCK	KEGG:spu:579202
ECB-GENEPAGE-23062387	ECB-GENE-23062388	LOC574784	KEGG:spu:574784
ECB-GENEPAGE-23062399	ECB-GENE-23062400	LOC574922	KEGG:spu:574922
ECB-GENEPAGE-23062404	ECB-GENE-23062405	LOC575564	KEGG:spu:575564
ECB-GENEPAGE-23062609	ECB-GENE-23062610	LOC575404	KEGG:spu:575404
ECB-GENEPAGE-23062642	ECB-GENE-23062643	LOC590313	KEGG:spu:590313
ECB-GENEPAGE-23062686	ECB-GENE-23062687	LOC580578	KEGG:spu:580578
ECB-GENEPAGE-23062988	ECB-GENE-23062989	LOC105440607	KEGG:spu:105440607
ECB-GENEPAGE-23063251	ECB-GENE-23063252	LOC584982	KEGG:spu:584982
ECB-GENEPAGE-23063298	ECB-GENE-23063299	gcml	KEGG:spu:378470
ECB-GENEPAGE-23063361	ECB-GENE-23063362	LOC580346	KEGG:spu:580346
ECB-GENEPAGE-23063404	ECB-GENE-23063405	LOC577596	KEGG:spu:577596
ECB-GENEPAGE-23063534	ECB-GENE-23063535	HDAC1	KEGG:spu:373339
ECB-GENEPAGE-23063549	ECB-GENE-23063550	LOC578799	KEGG:spu:578799
ECB-GENEPAGE-23063619	ECB-GENE-23063620	tcf21l	KEGG:spu:100888880
ECB-GENEPAGE-23063624	ECB-GENE-23063625	LOC100888271	KEGG:spu:100888271
ECB-GENEPAGE-23063807	ECB-GENE-23063808	pithd1	KEGG:spu:577654
ECB-GENEPAGE-23063813	ECB-GENE-23063814	LOC373482	KEGG:spu:373482
ECB-GENEPAGE-23063857	ECB-GENE-23063858	LOC586555	KEGG:spu:586555
ECB-GENEPAGE-23063869	ECB-GENE-23063870	LOC593509	KEGG:spu:593509
ECB-GENEPAGE-23063895	ECB-GENE-23063896	LOC586645	KEGG:spu:586645
ECB-GENEPAGE-23063963	ECB-GENE-23063964	rps15a	KEGG:spu:373469
ECB-GENEPAGE-23064132	ECB-GENE-23064133	LOC578285	KEGG:spu:578285
ECB-GENEPAGE-23064154	ECB-GENE-23064155	LOC594541	KEGG:spu:594541
ECB-GENEPAGE-23064183	ECB-GENE-23064184	polr3h	KEGG:spu:591904
ECB-GENEPAGE-23064222	ECB-GENE-23064223	dnal4	KEGG:spu:589737
ECB-GENEPAGE-23064342	ECB-GENE-23064343	LOC576951	KEGG:spu:576951
ECB-GENEPAGE-23064400	ECB-GENE-23064401	LOC583193	KEGG:spu:583193
ECB-GENEPAGE-23064405	ECB-GENE-23064406	foxe3l	KEGG:spu:100891362
ECB-GENEPAGE-23064429	ECB-GENE-23064430	LOC100893370	KEGG:spu:100893370
ECB-GENEPAGE-23064461	ECB-GENE-23064462	LOC763396	KEGG:spu:763396
